zone_id,hour,avg_temp,avg_deseasonalized,night_retention,rank_coolest,rank_low_deseason,suggested_window_score
Phoenix,10,19.831193078324226,-8.105234759012072e-16,3.4388178589548453,4.0,3.0,3.5
Phoenix,8,21.338524590163935,-1.2715997047072832e-15,3.4388178589548453,7.0,1.0,4.0
Phoenix,13,18.863979963570127,-4.416624928563464e-16,3.4388178589548453,2.0,6.0,4.0
Phoenix,7,22.198497267759564,-4.853433987432379e-16,3.4388178589548453,9.0,5.0,7.0
Phoenix,12,18.71639344262295,4.562227948186436e-16,3.4388178589548453,1.0,16.0,8.5
Phoenix,11,19.228324225865208,3.97981586969455e-16,3.4388178589548453,3.0,15.0,9.0
Phoenix,9,20.525,1.116289817109447e-16,3.4388178589548453,6.0,13.0,9.5
Phoenix,16,23.764344262295083,-2.669388693087808e-16,3.4388178589548453,11.0,8.0,9.5
Phoenix,17,25.67427140255009,-3.543006810825636e-16,3.4388178589548453,14.0,7.0,10.5
Phoenix,15,21.764890710382513,1.2133584968580947e-16,3.4388178589548453,8.0,14.0,11.0
Phoenix,0,29.822131147540983,-8.9788528767499e-16,3.4388178589548453,21.0,2.0,11.5
Phoenix,5,24.03369763205829,7.765494379891805e-17,3.4388178589548453,12.0,12.0,12.0
Phoenix,14,19.94412568306011,7.037479281776948e-16,3.4388178589548453,5.0,19.0,12.0
Phoenix,20,29.612112932604735,-6.600670222908035e-16,3.4388178589548453,20.0,4.0,12.0
Phoenix,18,27.30669398907104,-1.2618928367324183e-16,3.4388178589548453,16.0,10.0,13.0
Phoenix,6,23.016302367941712,5.77558644504453e-16,3.4388178589548453,10.0,17.0,13.5
Phoenix,19,28.608287795992712,-1.9413735949729513e-17,3.4388178589548453,18.0,11.0,14.5
Phoenix,2,27.335883424408014,1.116289817109447e-16,3.4388178589548453,17.0,13.0,15.0
Phoenix,4,25.049863387978142,6.600670222908035e-16,3.4388178589548453,13.0,18.0,15.5
Phoenix,21,30.278142076502736,-1.9413735949729513e-16,3.4388178589548453,22.0,9.0,15.5
Phoenix,3,26.248952641165758,7.716960040017481e-16,3.4388178589548453,15.0,20.0,17.5
Phoenix,23,30.526411657559198,7.765494379891805e-17,3.4388178589548453,23.0,12.0,17.5
Phoenix,1,28.629826958105646,8.542043817880985e-16,3.4388178589548453,19.0,21.0,20.0
Phoenix,22,30.60459927140255,1.1114363831220147e-15,3.4388178589548453,24.0,22.0,23.0
